001,Title -- 245^$0$0$a,Publication -- 260^$ $ $a,Publication Frequency -- 310^$ $ $a,"Production, Publication -- 264^$ $1$c",Topical Term -- 650^$ $7$2,Index Term -- 653^$ $6$a,Electronic Access -- 856^$ $2$u,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,110,901,692,250,525,600,983,505,record - leader,008,035,040,336,337,338,996,998
,bi-monthly newsletter,,,Bruxelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,UNDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,[1982]-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918854650101480,Variant.,Hasselt,Quarterly,,,,,^$2$ $aLicht en liefde. Gewest Limburg$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00595nas  2200193u  4500,971117q19851986be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001885465LBS01-Aleph^$ $ $a7234767^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918854650101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,Licht en liefde. Gewest Limburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985-[1986],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918878990101480,Zorgend leven bij onze bejaarden,Hasselt,Monthly,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,00754nas  2200205u  4500,971124q19811989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001887899LBS01-Aleph^$ $ $a7245046^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918878990101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,Contact met het personeel van de bejaardentehuizen.,Bisdom Hasselt. Secretariaat bejaardenpastoraal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981-[1989],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918881240101480,Vanonderuit.,S.l.,Monthly,,,,,^$2$ $aACV-CCMB Boelwerf$ $ $cTemse$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00574nas  2200193u  4500,971124q19839999be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001888124LBS01-Aleph^$ $ $a7246056^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918881240101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,ACV-CCMB Boelwerf Temse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918904850101480,Tongeren ziekenzorg.,Tongeren,Semiannual,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,00554nas  2200169u  4500,971124q19839999be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001890485LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918904850101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,
,,Verbond van kristelijke mutualiteiten van Limburg. Afdeling Tongeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981-[1985],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918909420101480,Zomaar.,Roeselare,Quarterly,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,00674nas  2200205u  4500,971202q19841989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001890942LBS01-Aleph^$ $ $a7258446^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918909420101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,Jeugd en gezondheid CM. Verbond Roeselare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984-[1989],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918926110101480,SMB info.,Brussel,Quarterly,,,Periodicals,,^$2$ $aSint-Michielsbond$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00598nas  2200205u  4500,971208q19851988be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001892611LBS01-Aleph^$ $ $a7266590^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926110101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,Sint-Michielsbond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1985]-[1988],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918926700101480,^$0$3$aDe kleine zeg : informatieblad voor de CVP-leden van het arr. Ieper.,Ieper,Quarterly,,,,,^$2$ $aCVP. Arrondissement Ieper$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00641nas  2200193u  4500,971208q19831990be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001892670LBS01-Aleph^$ $ $a7266796^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926700101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,CVP. Arrondissement Ieper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983-[1990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918926940101480,Service : maandelijks tijdschrift van de Christen democratische omroep.,Brussel,Monthly,,,,,^$2$ $aChristen democratische omroep$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00652nas  2200193u  4500,971208q19811982be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001892694LBS01-Aleph^$ $ $a7266895^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918926940101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,Christen democratische omroep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981-[1982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918941740101480,CVP overzee. Informatieblad.,Kinshasa,Unknown,,,,,^$2$ $aCVP$ $ $gChristelijke volkspartij$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00586nas  2200193u  4500,971212q19821983be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001894174LBS01-Aleph^$ $ $a7273414^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918941740101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1982]-[1983],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9918959900101480,CVP persbrief.,Brussel,Monthly,,,,,^$2$ $aCVP$ $ $gChristelijke volkspartij$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,00566nas  2200193u  4500,971219q19859999be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001895990LBS01-Aleph^$ $ $a7281902^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918959900101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as
,,CVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[1985]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
