record - leader,001,008,035,040,245,260,310,336,337,338,653,264,996,998,650,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505
00610nas  2200205u  4500,9922652980101480,010514d19859999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002265298LBS01-Aleph^$ $ $a8833600^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922652980101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aLokers zegje.,^$ $ $aLokeren$ $ $bCVP$ $ $c[1985]-?,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP$ $ $cLokeren$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00537nas  2200193u  4500,9922653050101480,010514q19819999be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002265305LBS01-Aleph^$ $ $a8833637^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922653050101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCVP.,^$ $ $aLommel$ $ $bCVP$ $ $c1981-?,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,,^$2$ $aCVP$ $ $cLommel$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00625nas  2200205u  4500,9922671610101480,010521q19821985be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002267161LBS01-Aleph^$ $ $a8842288^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922671610101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aFusie Gingelom.,^$ $ $aGingelom$ $ $bCVP. Gingelom$ $ $c1982-[1985],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP. Gingelom$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00636nas  2200193u  4500,9922698520101480,010531q19841988be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002269852LBS01-Aleph^$ $ $a8854523^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922698520101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aKabelkrant : informatieblad voor de medewerkers van de NV Bekaert SA-vestiging Moen.,^$ $ $aZwevegem$ $ $bBekaert$ $ $c[1984]-[1988],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aHOOFDTREFWOORD-00,,,,,,,,,,,,,,,,,,,,,,,,,,,
00619nas  2200205u  4500,9922705870101480,010602q19831990be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002270587LBS01-Aleph^$ $ $a8857769^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922705870101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSchotense zegjes.,^$ $ $aSchoten$ $ $bCVP$ $ $c[1983]-[1990],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP$ $ $cSchoten$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00646nas  2200205u  4500,9922705880101480,010602q19811991be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002270588LBS01-Aleph^$ $ $a8857772^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922705880101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSint-Agatha-Berchem.,^$ $ $aSint-Agatha-Berchem$ $ $bCVP$ $ $c[1981]-[1991],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP$ $ $cSint-Agatha-Berchem$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00616nas  2200205u  4500,9922706050101480,010602q19841989be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002270605LBS01-Aleph^$ $ $a8857806^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922706050101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aZeg Zutendaal.,^$ $ $aZutendaal$ $ $bCVP$ $ $c1984-[1989],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP$ $ $cZutendaal$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00975nas  2200253u  4500,9922722810101480,010611q19842004be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002272281LBS01-Aleph^$ $ $a8865455^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922722810101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aMuzieksien.,^$ $ $aSint-Eloois-Winkel$ $ $bKoninklijke harmonie De kunstvrienden$ $ $c1984-[2004],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aJeugdharmonie De Winkelse piccolo's$ $ $cSint-Eloois-Winkel$ $ $4oth^$2$ $aKoninklijke harmonie De kunstvrienden$ $ $cSint-Eloois-Winkel$ $ $4oth,,^$ $ $aSamenuitgave van Koninklijke harmonie De kunstvrienden en: Jeugdharmonie De Winksele piccolo's,^$1$8$w(BeLVLBS)002263677LBS01-Aleph$ $ $tDe piccolo$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,
00605nas  2200205u  4500,9922723630101480,010611q19831983be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002272363LBS01-Aleph^$ $ $a8865784^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922723630101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe Leie-zeg.,^$ $ $aKortrijk$ $ $bCVP$ $ $c1983,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP$ $ $cKortrijk$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00658nas  2200205u  4500,9922724590101480,010611q19811982be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002272459LBS01-Aleph^$ $ $a8866112^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922724590101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCVP-Nieuw-Antwerpen.,^$ $ $aAntwerpen$ $ $bCVP. Nieuw-Antwerpen$ $ $c1981-[1982],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP. Nieuw-Antwerpen$ $ $cAntwerpen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00718nas  2200217u  4500,9922726200101480,010611q19811982be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002272620LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922726200101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aCVP-Arro Antwerpen,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1982]-[1988]^$ $1$aAntwerpen$ $ $bCVP. Arrondissement Antwerpen,^$ $ $aKADOC$ $ $bphysical$ $ $c202103$ $ $9local,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aCD&V-arrondissement Antwerpen (1945-)$ $ $6(ODIS-ORG)7967,^$2$ $aCVP. Arrondissement Antwerpen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00668nas  2200205u  4500,9922728360101480,010611q19811982be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002272836LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922728360101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aContactblad van KSA De biekorf.,^$ $ $aKlemskerke$ $ $bKSA De biekorf$ $ $c1984/85-1990/91,^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA De biekorf$ $ $cKlemskerke$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00650nas  2200217u  4500,9922728870101480,010612d19849999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002272887LBS01-Aleph^$ $ $a8867803^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922728870101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aRoets.,^$ $ $aIchtegem$ $ $bKSA$ $ $c1984/85-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA$ $ $cIchtegem$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00646nas  2200217u  4500,9922734560101480,010614d19839999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002273456LBS01-Aleph^$ $ $a8870305^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922734560101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$a't Boetje.,^$ $ $aMale$ $ $bKSA$ $ $c1983/84-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA$ $ $cMale$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00694nas  2200229u  4500,9922761000101480,010625d19839999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002276100LBS01-Aleph^$ $ $a8882003^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9922761000101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aKSA Kemmel kabouterkamp.,^$ $ $aKemmel$ $ $bKSA$ $ $c[1983]-1996,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.aw,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aKSA$ $ $cKemmel$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00865nas  2200241u  4500,9925018040101480,031004c19819999xx br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002501804LBS01-Aleph^$ $ $a9895687^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925018040101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSalvatoriaanse hulpactie.,^$ $ $aHamont$ $ $bSalvatorianen$ $ $c1981-,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201503,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aSalvatoriaanse hulpactie$ $ $4oth,,^$ $ $aVerderzetting van: Hulpactie voor Zuid-Amerika en Salvatoriaanse hulpactie voor Zuid-Amerika,^$1$8$w(BeLVLBS)001017451LBS01-Aleph$ $ $tSalvatoriaanse hulpactie voor Zuid-Amerika$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,
00623nas  2200205u  4500,9925028380101480,031007d19829999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002502838LBS01-Aleph^$ $ $a9899997^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925028380101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aInformatief.,^$ $ $aS.l.$ $ $bCVP Blandijn-Zuid$ $ $c[1982]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Blandijn-Zuid$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00630nas  2200217u  4500,9925028460101480,031007d19811991be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002502846LBS01-Aleph^$ $ $a9900036^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925028460101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aIzegem.,^$ $ $aIzegem$ $ $bCVP$ $ $c1981-[1982],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Izegem$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00606nas  2200205u  4500,9925053620101480,031015d19819999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002505362LBS01-Aleph^$ $ $a9911177^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925053620101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aZeg Berlare.,^$ $ $aBerlare$ $ $bCVP$ $ $c[1981]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Berlare$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00645nas  2200205u  4500,9925053650101480,031015d19829999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002505365LBS01-Aleph^$ $ $a9911184^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925053650101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aWijzer : blad van de CVP-afdeling Wachtebeke.,^$ $ $aWachtebeke$ $ $bCVP$ $ $c[1982]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP Wachtebeke$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00668nas  2200193u  4500,9925160990101480,031015d19829999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002516099LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925160990101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aADB$ $ $bcirculaire des anciens élèves de Don Bosco-Zaïre.,^$ $ $aLubumbashi$ $ $bInstitut technique SALAMA$ $ $c[1981]-[1984],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803",,,,,,,,,,,,,,,,,,,,,,,,,,,
00708nas  2200217u  4500,9925161240101480,031015d19829999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002516124LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925161240101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aContact zonnekind en school.,^$ $ $c[1982/83]-[1984/85]^$ $ $aAverbode$ $ $bGoede pers.,^$ $ $aAnnual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803",,,,^$1$8$w(BeLVLBS)001055163LBS01-Aleph$ $ $tZonnekind,,,,,,,^$ $ $aCONSOLIDATED RECORD,,,,,,,,,,,,,,,,
00712nas  2200217u  4500,9925161890101480,031015d19829999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002516189LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925161890101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aContact zonnestraal en school.,^$ $ $c[1982/83]-[1984/85]^$ $ $aAverbode$ $ $bGoede pers.,^$ $ $aAnnual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803",,,,^$1$8$w(BeLVLBS)001055165LBS01-Aleph$ $ $tZonnestraal,,,,,,,^$ $ $aCONSOLIDATED RECORD,,,,,,,,,,,,,,,,
00736nas  2200229u  4500,9925162010101480,031015d19829999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002516201LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925162010101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aContact Zonneland en school.,^$ $ $c[1981/82]-[1984/85]^$ $ $aAverbode$ $ $bGoede pers.,^$ $ $aAnnual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803",,,,^$1$8$w(BeLVLBS)001055168LBS01-Aleph$ $ $tZonneland,,,,,,,^$ $ $aCONSOLIDATED RECORD,,,,,,,,,,,,,,,,
00752nas  2200229u  4500,9925162130101480,031126q19821983be ar|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002516213LBS01-Aleph^$ $ $a9962354^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925162130101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aContact Doremi en school.,^$ $ $aAverbode$ $ $bGoede pers$ $ $c[1982]-[1983],^$ $ $aAnnual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803",,,,,,,,^$ $ $aBijlage bij: Doremi,,,,,,,,^$1$8$w(BeLVLBS)001055162LBS01-Aleph$ $ $tDoremi$ $ $4772,,,,,,,,,,,
00764nas  2200217u  4500,9925230190101480,031218q19841987be zr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002523019LBS01-Aleph^$ $ $a9992786^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925230190101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aOAK nieuws.,^$ $ $aKessel-Lo$ $ $bOntmoetingsgroep alleenstaande ouders$ $ $c1984-[1987],^$ $ $aOther,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asociaal beleid$ $ $6(ODIS-TW)1835,^$2$ $aOntmoetingsgroep alleenstaande ouders Kessel-Lo$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00668nas  2200205u  4500,9925230730101480,031218q19849999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002523073LBS01-Aleph^$ $ $a9992945^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925230730101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aNieuwsberichten.,^$ $ $aS.l.$ $ $bNieuwsberichten$ $ $c1984-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,^$ $ $aUitgegeven n.a.v. 22e Algemeen kapittel Salesiaanse congregatie in 1984,,,,,,,,,,,,,,,,,,,,,,,,
00922nas  2200253u  4500,9925278890101480,040119d19852005be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002527889LBS01-Aleph^$ $ $a10017734^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925278890101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aHart.,^$ $ $aLoppem$ $ $bTer Loo$ $ $c1985-2005,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201411,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aTer Loo$ $ $cLoppem$ $ $4oth,,,^$1$8$w(BeLVLBS)001021104LBS01-Aleph$ $ $tIk geef u een nieuw hart : driemaandelijks tijdschrift voor levensverdieping en religieuze bezieling$ $ $4780^$1$8$w(BeLVLBS)003189247LBS01-Aleph$ $ $tHarteklap : informatie- en bezinningsblad.$ $ $4785,,,,,,,,,,,,,,,,,,,,,,,
01352nas  2200289u  4500,9925295280101480,040119d19852005be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002529528LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925295280101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aInfo plaatselijke werking$ $ $61213807,,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1983-^$ $1$aLeuven$ $ $bChristelijk Ziekenfonds$ $ $31996-^$ $1$aKessel-Lo$ $ $bKristelijk Ziekenfonds - St.-Pietersbond$ $ $31992-1996^$ $1$aLeuven$ $ $bVerbond van Kristelijke Ziekenfondsen (VKZ)$ $ $3[1989]-1992,^$ $ $aKADOC$ $ $bphysical$ $ $c201504$ $ $9local,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amutualiteiten$ $ $6(ODIS-TW)2447^$ $7$2KADOC$ $ $aLandsbond der Christelijke Mutualiteiten / Alliance Nationale des Mutualités Chrétiennes (1906-heden)$ $ $6(ODIS-ORG)1397,^$2$ $aChristelijk ziekenfonds Leuven$ $ $4oth,,,,,^$1$0$aInfobrief plaatselijke werking$ $ $btrimestrieel infoblad voor bestuursleden$ $ $g1996-2002^$1$0$aInfo-brief plaatselijke werking$ $ $btrimestrieel informatieblad voor bestuursleden$ $ $g1991-1996^$1$0$aInfo brief plaatselijke werking$ $ $btrimestrieel informatieblad voor bestuursleden$ $ $g[1989]-1990,,,,,,,,,,,,,,,,,,,,,
