record - leader,001 Control Number,008 Fixed-Length Data Elements,035^$ $ $a System Control Number,040^$ $ $a Cataloging Source,245^$0$0$a Title,245^$0$2$a Title - w Article,245^$0$3$a Title - w Article,245^$0$4$a Title - w Article,"260^$ $ $a Publication, Distribution",310^$ $ $a Current Publication Frequency,336 Content Type,337 Media Type,338 Carrier Type,653 Index Term - Uncontrolled,"264 Production, Publication, Distribution, Manufacture, and Copyright Notice",996,998,650 Subject Added Entry - Topical Term,710 Added Entry - Corporate Name,246 Varying Form of Title,500 General Note,775 Other Edition Entry,022 International Standard Serial Number,247 Former Title,321 Former Publication Frequency,580 Linking Entry Complexity Note,546 Language Note,521 Target Audience Note,900,300 Physical Description,490 Series Statement,700 Added Entry - Personal Name,041 Language Code,773 Host Item Entry,981,711 Added Entry - Meeting Name,856 Electronic Location and Access,110 Main Entry - Corporate Name,901,692 Local Subject Access Fields,250 Edition Statement,525 Supplement Note,600 Subject Added Entry - Personal Name,983,505 Formatted Contents Note
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9918829630101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00582nas  2200193u  4500,9918835320101480,971110q19821984be qr|p||     0|||a|dut c,,BeLVLBS,Ter Munk.,,,,Brussel$ $ $bVormingscentrum Ter Munk$ $ $c1982-[1984],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aVormingscentrum Ter Munk$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001883532LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7226032,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9918835320101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00623nas  2200193u  4500,9918842830101480,971113q19829999be br|p||     0|||a|dut c,,BeLVLBS,Tip : tweemaandelijkse periodiek van St.-Paulusjeugdkampen.,,,,Brussel$ $ $bSt.-Paulusjeugdkampen$ $ $c[1982]-?,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aSt.-Paulusjeugdkampen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001884283LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7229796,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9918842830101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00626nas  2200193u  4500,9918843440101480,971113q19841988be qr|p||     0|||a|dut c,,BeLVLBS,Telex.,,,,Hasselt$ $ $bSociaal en fiscaal middenstandssecretariaat$ $ $c1984-[1988],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aSociaal en fiscaal middenstandssecretariaat$ $ $cHasselt$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
