record - leader,001 Control Number,008 Fixed-Length Data Elements,035^$ $ $a System Control Number,040^$ $ $a Cataloging Source,245^$0$0$a Title,245^$0$2$a Title - w Article,245^$0$3$a Title - w Article,245^$0$4$a Title - w Article,"260^$ $ $a Publication, Distribution",310^$ $ $a Current Publication Frequency,336 Content Type,337 Media Type,338 Carrier Type,653 Index Term - Uncontrolled,"264 Production, Publication, Distribution, Manufacture, and Copyright Notice",996,998,650 Subject Added Entry - Topical Term,710 Added Entry - Corporate Name,246 Varying Form of Title,500 General Note,775 Other Edition Entry,022 International Standard Serial Number,247 Former Title,321 Former Publication Frequency,580 Linking Entry Complexity Note,546 Language Note,521 Target Audience Note,900,300 Physical Description,490 Series Statement,700 Added Entry - Personal Name,041 Language Code,773 Host Item Entry,981,711 Added Entry - Meeting Name,856 Electronic Location and Access,110 Main Entry - Corporate Name,901,692 Local Subject Access Fields,250 Edition Statement,525 Supplement Note,600 Subject Added Entry - Personal Name,983,505 Formatted Contents Note
,,,(BeLVLBS)001028592LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2859971,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9910285920101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00552nas  2200181u  4500,9910286000101480,890303d19851995be mr|p||     0|||a|dut c,,BeLVLBS,Gebedskring rond Acqua viva.,,,,Brussel$ $ $bOnthaalcentrum Acqua viva$ $ $c1985-1995,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001028600LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2859995,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9910286000101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00734nas  2200229u  4500,9910310460101480,890310q19832013be qr|p||     0|||a|dut c,,BeLVLBS,OTB-nieuws.,,,,,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1983-[2013]^$ $1$aKampenhout$ $ $bOns tehuis-Brabant$ $ $31983-[2013],^$ $ $aKADOC$ $ $bphysical$ $ $c202012$ $ $9local,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asociaal beleid$ $ $6(ODIS-TW)1835,^$2$ $aOns tehuis-Brabant$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001031046LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2869570,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9910310460101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00516nas  2200181u  4500,9910310490101480,890310d19811982be er|p||     0|||a|dut c,,BeLVLBS,Yell.,,,,Averbode$ $ $bGoede pers$ $ $c1981-1982,Biweekly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001031049LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2869584,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9910310490101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00864nas  2200253u  4500,9910310520101480,890310q19822007be mr|p||     0|||a|dut c,,BeLVLBS,Priesterbroederschap St. Pius X. Informatieblad.,,,,Brussel$ $ $bChristus koning priorij$ $ $c1982-,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c202102,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ak,,^$2$ $aPriesterbroederschap St.-Pius X$ $ $4oth^$2$ $aStichting Sint-Jozef Goirle (NL)$ $ $4oth^$2$ $aChristus Koning priorij Brussel$ $ $4oth,,,,,,,^$ $ $aMet supplement: Brief aan onze vrienden en weldoeners,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001031052LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2869601,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9910310520101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00768nas  2200241u  4500,9910315770101480,890313d19812005be qr|p||     0|||a|dut c,,BeLVLBS,Duet.,,,,Brugge$ $ $bAbdij Sint-Godelieve$ $ $c1981-2005,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ak,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aSint-Godelieveabdij Brugge$ $ $4oth^$2$ $aSint-Pietersabdij Steenbrugge bij Brugge$ $ $4oth,,^$ $ $aTijdschrift is stopgezet,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001031577LBS01-Aleph,Language of cataloging varies,428675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2871441,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9910315770101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00637nas  2200193u  4500,9910315840101480,890313d19812005be qr|p||     0|||a|dut c,,Language of cataloging varies,EUCD-bulletin.,,,,Brussel$ $ $bEuropese unie van christen-democraten$ $ $c1985-[1988],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,^$2$ $aEuropese unie van christen-democraten (EUCD)$ $ $4oth,,^$ $ $aVerschijnt afwisselend met EVP-bulletin,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)001031584LBS01-Aleph,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9910315840101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00633nas  2200205u  4500,9923740020101480,020706d19849999be qr|p||     0|||a|dut c,,BeLVLBS,Info : informatieblad DF-Kluisbergen.,,,,Kluisbergen$ $ $bDavidsfonds$ $ $c1984-?,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002374002LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9323197,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923740020101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00635nas  2200205u  4500,9923740030101480,020706d19829999be qr|p||     0|||a|dut c,,BeLVLBS,Davidsfonds Lummen. Mededelingen,,,,Lummen$ $ $bDavidsfonds$ $ $c1982-?,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Lummen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002374003LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9323199,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923740030101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00583nas  2200193u  4500,9923740040101480,020706d19839999be mr|p||     0|||a|dut c,,BeLVLBS,Davidsfonds Izegem.,,,,Izegem$ $ $bDavidsfonds$ $ $c1983/84-?,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002374004LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9323201,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923740040101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00608nas  2200205u  4500,9923740090101480,020706q19811986be ur|p||     0|||a|dut c,,BeLVLBS,,,,Den eekronker.,Laarne$ $ $bDavidsfonds$ $ $c1981-[1986],Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002374009LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9323224,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923740090101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00650nas  2200205u  4500,9923740110101480,020706q19852001be br|p||     0|||a|dut c,,BeLVLBS,Ledentijdschrift Davidsfonds Londerzeel Centrum.,,,,Londerzeel$ $ $bDavidsfonds$ $ $c[1985]-[2001],Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002374011LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9323228,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923740110101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00648nas  2200205u  4500,9923740120101480,020706q19831988be br|p||     0|||a|dut c,,BeLVLBS,Davidsfondsnieuws.,,,,Lochristi$ $ $bDavidsfonds$ $ $c1983/84-[1987/88],Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002374012LBS01-Aleph,Language of cataloging varies,,,,,,"Vanaf Jg 3, 4x per jaar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9323230,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923740120101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00894nas  2200265u  4500,9923740130101480,020706q19822013be br|p||     0|||a|dut c,,BeLVLBS,Omtrent Davidsfonds Lint.,,,,,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1982-[2013]^$ $1$aLint$ $ $bDavidsfonds$ $ $31982-[2013],^$ $ $aKADOC$ $ $bphysical$ $ $c201912$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KUL$ $ $a#BTAB:VH 493 Leuven^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT)^$ $7$2UCLL$ $ $aTijdschriften SAW,,,^$ $ $afrequentie varieert,,,^$1$0$aToneelgroep Durendaal$ $ $bDavidsfonds - LINT$ $ $g1982-[1985],,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002374013LBS01-Aleph,Language of cataloging varies,Durendaal Fotoclub Roeland - Periodiek ledenblad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9323232,rda based,3213568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923740130101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00581nas  2200193u  4500,9923740200101480,020706q19851995be br|p||     0|||a|dut c,,BeLVLBS,DF-info.,,,,Waasmunster$ $ $bDavidsfonds$ $ $c1985-[1995],Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002374020LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9323246,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923740200101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01080nas  2200265u  4500,9923785550101480,020706q19851995be br|p||     0|||a|dut c,,Language of cataloging varies,Pluizer,,,,^$ $ $c1984-?Leuven$ $ $bPluralistische organizatie voor bibliotheekgebruik.,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,^$ $ $aOndertitel varieert,,,,,^$ $ $aVerschijnt als zelfstandig tijdschrift t/m 2(1985/86)^$ $ $aBijlage bij : Bib-krant (van 1987 tot 1991/92)^$ $ $aBijlage bij : Klapper: tijdschrift over lezen en informatiegebruik (vanaf 1993),,,,,,,,^$1$8$w(BeLVLBS)001454472LBS01-Aleph$ $ $tBib-krant$ $ $4772^$1$8$w(BeLVLBS)001454472LBS01-Aleph$ $ $tKlapper : tijdschrift over lezen en informatiegebruik$ $ $4772,,,,,,,,,,,
,,,(BeLVLBS)002378555LBS01-Aleph,rda based,uitneembare katern kinder- en jeugdboekrecensies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923785550101471,,13071491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00665nas  2200217u  4500,9923929350101480,020921q19811997be qr|p||     0|||a|dut c,,BeLVLBS,,,De poemp.,,Nijlen$ $ $bHeemkring Davidsfonds$ $ $c1981-[1997],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aHeemkring davidsfonds Nijlen$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002392935LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9406391,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923929350101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00712nas  2200217u  4500,9923974020101480,021003q19831992be qr|p||     0|||a|dut c,,BeLVLBS,Davids-vondsten.,,,,Putte$ $ $bDavidsfonds Putte-Grens$ $ $c[1984/85]-[1991/92],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Putte-Grens$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002397402LBS01-Aleph,Language of cataloging varies,,,,,,Quarterly = Vanaf 1986 5x per jaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9423690,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923974020101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00682nas  2200217u  4500,9923974120101480,021003q19821992be ur|p||     0|||a|dut c,,BeLVLBS,Daforum.,,,,Rumst$ $ $bDavidsfonds$ $ $c[1982]-[1992],Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Rumst$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002397412LBS01-Aleph,Language of cataloging varies,kontaktblad van het Davidsfonds Rumst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9423717,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923974120101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00801nas  2200217u  4500,9923975690101480,021003q19821997xx mr|p||     0|||a|dut c,,BeLVLBS,Sinjaaltje,,,,Sint-Lambrechts-Woluwe$ $ $bDavidsfonds. Sint-Lambrechts-Woluwe.$ $ $c1982-[1997],Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201506$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Sint-Lambrechts-Woluwe$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002397569LBS01-Aleph,Language of cataloging varies,ledenblad van Davidsfonds Sint-Lambrechts-Woluwe.,,,,,"Verschijnt 10 x per jaar, niet in juli-augustus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9424417,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923975690101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00631nas  2200205u  4500,9923975870101480,021004q19831997be br|p||     0|||a|dut c,,BeLVLBS,,,,Het mosterdpotje.,Steendorp$ $ $bDavidsfonds$ $ $c1983-[1997],Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201506$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Steendorp$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002397587LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9424490,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923975870101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00672nas  2200217u  4500,9923976110101480,021004q19841997be qr|p||     0|||a|dut c,,BeLVLBS,DF-info.,,,,Sint-Kwintens-Lennik$ $ $bDavidsfonds$ $ $c1984-[1997],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201506$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Sint-Kwintens-Lennik$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002397611LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9424591,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923976110101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00631nas  2200205u  4500,9923976170101480,021004q19821999be qr|p||     0|||a|dut c,,BeLVLBS,Goedendag nieuws.,,,,Waarloos$ $ $bDavidsfonds$ $ $c[1982]-[1999],Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201506$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Waarloos$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002397617LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9424608,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923976170101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00806nas  2200241u  4500,9923976280101480,021004q19852009be mr|p||     0|||a|dut c,,BeLVLBS,Westkapelle leeft,,,,"Westkapelle$ $ $bDavidsfonds, VAB, VTB Westkappelle$ $ $c1985-[2009]",Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,^$ $ $aKADOC$ $ $bphysical$ $ $c201505$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Westkapelle$ $ $4oth,,,,,^$1$0$a't Westkapellenaartje$ $ $bmededelingenblad van D.F.-V.A.B.-V.T.B Westkappelle$ $ $g1985-1999,,,,,,,,,^$ $ $adut,,,,,,,,,,,,
,,,(BeLVLBS)002397628LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9424642,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923976280101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00627nas  2200205u  4500,9923976330101480,021004q19831997be mr|p||     0|||a|dut c,,BeLVLBS,,,De belleman.,,Varsenare$ $ $bDavidsfonds$ $ $c1983/84-[1997],Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ax,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Varsenare$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(BeLVLBS)002397633LBS01-Aleph,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9424657,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(EXLNZ-32KUL_LIBIS_NETWORK)9923976330101471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
